"postId","time_start_experiment","time_start_demo","time_end_demo","time_diff_demo","timestamp","age","sex","degree","time_start_preTest","time_end_preTest","time_diff_preTest","preknowledge","previolence","visType","time_start_attentionCheck","time_end_attentionCheck","time_diff_attentionCheck","topic","displayType","subtopic","postviolence","time_start_postTest","time_start_preTest","time_start_qualitative","time_end_qualitative","time_diff_qualitative","qualitative","time_end_experiment","time_diff_experiment","comments"
"inro2vc8","1462293978921","1462293978970","1462294255844","276874","1462294283667","25-39","Female","Bachelors","1462294257622","1462294263032","5410","4","2","interactive graphs","1462294270583","1462294274242","3659","VideoGames","graphs","violence","6","1462294274912","1462294257622","1462294278485","1462294280616","2131","test","1462294281427","302506","test"
"inrnpo15","1462293362925","1462293362954","1462293621608","258654","1462293644133","50-59","Female","High School","1462293622848","1462293627084","4236","3","5","graphs","1462293629552","1462293635311","5759","VideoGames","graphs","violence","6","1462293636651","1462293622848","1462293638983","1462293641936","2953","test","1462293642033","279108","test"
"inrp8a3y","1462295910959","1462295910986","1462296296950","385964","1462296315031","50-59","Female","PhD","1462296297891","1462296300186","2295","3","2","charts","1462296302674","1462296305998","3324","VideoGames","tables","violence","6","1462296306675","1462296297891","1462296308734","1462296311576","2842","Enter Here... ","1462296311666","400707","Leave feedback here "
"ins0iudc","1462314879555","1462314879587","1462314882419","2832","1462314899526","25-39","Female","Bachelors","1462314883273","1462314886255","2982","5","5","interactive graphs","1462314888948","1462314892575","3627","VideoGames","graphs","violence","2","1462314893260","1462314883273","1462314896474","1462314898153","1679","Enter Here... ","1462314898235","18680","Leave feedback here "
"inrnvqnu","1462293646267","1462293646293","1462293952659","306366","1462293976018","40-49","Male","PhD","1462293953432","1462293958807","5375","1","5","charts","1462293961710","1462293966651","4941","VideoGames","tables","violence","5","1462293967237","1462293953432","1462293970559","1462293973533","2974","test","1462293974201","327934","test"
"inrnk94s","1462293110336","1462293110384","1462293133965","23581","1462293267958","18-25","Male","Bachelors","1462293135159","1462293153417","18258","5","5","graphs","1462293216646","1462293228849","12203","VideoGames","graphs","violence","5","1462293229714","1462293135159","1462293239681","1462293248714","9033","Enter Here... hi john","1462293248822","138486","Leave feedback here gfg"
"ins0ic2j","1462314855838","1462314855861","1462314860844","4983","1462314877782","18-25","Male","High School","1462314861830","1462314865172","3342","6","7","interactive graphs","1462314868167","1462314871420","3253","VideoGames","graphs","violence","3","1462314872183","1462314861830","1462314874297","1462314876076","1779","Enter Here... ","1462314876172","20334","Leave feedback here "
"inro9g65","1462294285854","1462294285891","1462294515177","229286","1462294535710","40-49","Other","Other","1462294516587","1462294519903","3316","6","5","graphs","1462294524080","1462294528233","4153","VideoGames","graphs","violence","6","1462294528942","1462294516587","1462294531093","1462294533863","2770","test","1462294533954","248100","test"
"inrp7ngi","1462295881604","1462295881630","1462295889304","7674","1462295908694","40-49","Female","Bachelors","1462295890009","1462295892218","2209","4","5","graphs","1462295895700","1462295899670","3970","VideoGames","graphs","violence","6","1462295900354","1462295890009","1462295902454","1462295906350","3896","Enter H ere...","1462295906438","24834","Leave feedback here "
"ins0hmlv","1462314822839","1462314822879","1462314826330","3451","1462314854260","40-49","Female","Bachelors","1462314827173","1462314829970","2797","7","7","interactive graphs","1462314835618","1462314840298","4680","VideoGames","graphs","violence","2","1462314846078","1462314827173","1462314849058","1462314852046","2988","Enter Here... ","1462314852129","29290","Leave feedback here "
"ins0jbz7","1462314902374","1462314902395","1462314907355","4960","1462314929982","40-49","Other","Masters","1462314908099","1462314911309","3210","5","6","graphs","1462314914539","1462314917855","3316","VideoGames","graphs","violence","3","1462314918487","1462314908099","1462314926683","1462314928471","1788","Enter Here... ","1462314928569","26195","Leave feedback here "
"inroeurs","1462294538058","1462294538083","1462295674241","1136158","1462295696648","50-59","Unspecified","Other","1462295674916","1462295678061","3145","4","6","interactive graphs","1462295681513","1462295686483","4970","VideoGames","graphs","violence","6","1462295687285","1462295674916","1462295689290","1462295693381","4091","test","1462295693471","1155413","Leave feedback here "
"inrnnwdz","1462293280442","1462293280470","1462293288250","7780","1462293360772","60+","Other","PhD","1462293293789","1462293313774","19985","1","4","charts","1462293333429","1462293341981","8552","VideoGames","tables","violence","5","1462293342971","1462293293789","1462293347913","1462293355583","7670","Enter Here... hi","1462293355735","75293","Leave feedback here hi"
